"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2175,168,"NOR","Norway",1,"Akershus","","Akershus fylke","Fylke","County"
2176,168,"NOR","Norway",2,"Ãstfold","","Oestfold fylke","Fylke","County"
2177,168,"NOR","Norway",3,"Aust-Agder","","Aust-Agder fylke|Austur-Agðir|Nedenes","Fylke","County"
2178,168,"NOR","Norway",4,"Buskerud","","Buskerud fylke","Fylke","County"
2179,168,"NOR","Norway",5,"Finnmark","","Finnmark fylke|Finmarken|Finnmárkku|Finnmörk","Fylke","County"
2180,168,"NOR","Norway",6,"Hedmark","","Hedmark fylke|Hedemarken|Heiðmörk","Fylke","County"
2181,168,"NOR","Norway",7,"Hordaland","","Hordaland fylke|Hörðaland|Søndre Bergenhus","Fylke","County"
2182,168,"NOR","Norway",8,"Møre og Romsdal","","Moere og Romsdal fylk|Møre|Romsdal","Fylke","County"
2183,168,"NOR","Norway",9,"Nord-Trøndelag","","Nord-Troendelag fylke|Nordre Trondhjem|Norður-Þrændalög","Fylke","County"
2184,168,"NOR","Norway",10,"Nordland","","Nordland fylke","Fylke","County"
2185,168,"NOR","Norway",11,"Oppland","","Oppland fylke|Kristian|Opland|Upplönd","Fylke","County"
2186,168,"NOR","Norway",12,"Oslo","","Oslo fylke|Kristiania","Fylke","County"
2187,168,"NOR","Norway",13,"Rogaland","","Rogaland fylke|Stavanger","Fylke","County"
2188,168,"NOR","Norway",14,"Sogn og Fjordane","","Sogn og Fjordane fyl|Nordre Bergenhus|Sogn og Firða-Fylki","Fylke","County"
2189,168,"NOR","Norway",15,"Sør-Trøndelag","","Soer-Troendelag fylke|Søndre Trondhjem|Suður-Þrændalög","Fylke","County"
2190,168,"NOR","Norway",16,"Telemark","","Telemark fylke|Bratsberg|Þelamörk","Fylke","County"
2191,168,"NOR","Norway",17,"Troms","","Troms fylke|Tromsø|Troms-Fylki","Fylke","County"
2192,168,"NOR","Norway",18,"Vest-Agder","","Vest-Agder fylke|Lister og Mandal|Vestur-Agðir","Fylke","County"
2193,168,"NOR","Norway",19,"Vestfold","","Vestfold fylke|Jarlsberg og Larvik","Fylke","County"
